Projeto|Identificador|Responsavel p/ Metadados|Data de preenchimento|MI|Índice de nomenclatura|Nome|Data de conclusão|Tipo da data de conclusão|Edição|Data da Edição|Tipo de recurso|Resumo|Propósito|Créditos|Escala|westBoundLongitude|southBoundLatitude|eastBoundLongitude|northBoundLatitude|Ponto de contato|EPSG|Datum Vertical|Catálogo de feições (Versão ET-EDGV)|PDF Carregado
Conversão do Mapeamento Sistematico do SCN para Vetorial|710e6581-105e-44be-4705-7b4a9ed9706b|2º Centro de Geoinformação|14/09/2016|||BRASÍLIA ESPECIAL|10/01/1971|criacao||1971-01-10|Nao SCN Carta Topografica Especial Matricial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||25000|-47.95833333|-15.87500000|-47.78333333|-15.69861111|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Conversão do Mapeamento Sistematico do SCN para Vetorial|e106f1f2-1121-335c-ae59-10d97b8af4bc|GABRIEL DRESCH / RS170699;|08/08/2016|0878|SB-23-V-C-III|GROTÃO - SB-23-V-C-III - 100.000|08/08/2016|criacao|1ª Edição|2016-08-08|SCN Carta Topografica Vetorial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-47.000|-5.500|-46.500|-5.000|2º Centro de Geoinformação|4674|Datum de Imbituba - SC|2 ET-EDGV - Esp. Tec. para Estruturação de Dados Geoespaciais Vetoriais|0
Conversão do Mapeamento Sistematico do SCN para Vetorial|550c398a-df43-55fe-828c-cbad5afffcf6|GABRIEL DRESCH / RS170699;|08/08/2016|0877|SB-23-V-C-II|JOÃO LISBOA - SB-23-V-C-II - 100.000|08/08/2016|criacao|1ª Edição|2016-08-08|SCN Carta Topografica Vetorial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-47.500|-5.500|-47.000|-5.000|2º Centro de Geoinformação|4674|Datum de Imbituba - SC|2 ET-EDGV - Esp. Tec. para Estruturação de Dados Geoespaciais Vetoriais|0
Conversão do Mapeamento Sistematico do SCN para Vetorial|b73267bd-c8e3-142f-0e4e-be0b9573eb7b|GABRIEL DRESCH / RS170699;|08/08/2016|1190|SB-23-Y-C-III|RIACHÃO - SB-23-Y-C-III - 100.000|08/08/2016|criacao|1ª Edição|2016-08-08|SCN Carta Topografica Vetorial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-47.000|-7.500|-46.500|-7.000|2º Centro de Geoinformação|4674|Datum de Imbituba - SC|2 ET-EDGV - Esp. Tec. para Estruturação de Dados Geoespaciais Vetoriais|0
Conversão do Mapeamento Sistematico do SCN para Vetorial|b2c44267-15d7-8907-8521-9cd04a96e27d|GABRIEL DRESCH / RS170699;|08/08/2016|1111|SB-23-Y-A-VI|SÃO PEDRO DOS CRENTES - SB-23-Y-A-VI - 100.000|08/08/2016|criacao|1ª Edição|2016-08-08|SCN Carta Topografica Vetorial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-47.000|-7.000|-46.500|-6.500|2º Centro de Geoinformação|4674|Datum de Imbituba - SC|2 ET-EDGV - Esp. Tec. para Estruturação de Dados Geoespaciais Vetoriais|0
Conversão do Mapeamento Sistematico do SCN para Vetorial|8f71a07e-b970-9f8c-b9b2-dd86cbebbd05|GABRIEL DRESCH / RS170699;|08/08/2016|1032|SB-23-Y-A-III|SERRA DA CINTA - SB-23-Y-A-III - 100.000|08/08/2016|criacao|1ª Edição|2016-08-08|SCN Carta Topografica Vetorial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-47.000|-6.500|-46.500|-6.000|2º Centro de Geoinformação|4674|Datum de Imbituba - SC|2 ET-EDGV - Esp. Tec. para Estruturação de Dados Geoespaciais Vetoriais|0
Copa das Confederações|bdbe252a-9bdc-ce15-bfc6-7132605edf4e|Emerson Magnus de A. Xavier /|05/06/2013|||BRASILIA_CARTAESPTOPO_25K_JUN2013_CCONF|04/06/2013|criacao|1ª Edição|2013-06-04|Nao SCN Carta Topografica Especial Matricial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||25000|-47.97621|-15.88931|-47.8202|-15.72031||4326|||1
Copa do Mundo 2014|233136b3-21a4-78af-746c-16533d283e4e|CARLOS ALBERTO PIRES DE CASTRO FILHO / ;|21/05/2014|||BELOHORIZONTE_CARTAESPTOPO_10K_ABR2014_CMUNDO|30/04/2014|criacao|1|2014-04-30|Nao SCN Carta Topografica Especial Matricial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||10000|-44.00664188838786117|-19.87700088203730786|-43.9452656460952511|-19.8303922899489784|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Copa do Mundo 2014|2a35d384-9058-21e4-20b4-0242fc03436d|CARLOS ALBERTO PIRES DE CASTRO FILHO / ;|04/06/2014|||BRASILIA_CARTAESPTOPO_10K_MAI2013_CMUNDO|20/05/2013|criacao|primeira|2013-05-20|Nao SCN Carta Topografica Especial Matricial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||10000|-47.91841|-15.81832|-47.85600|-15.75071|2º Centro de Geoinformação|4326|||1
Copa do Mundo 2014|fafd9ad2-1944-cc44-1ffa-6ecce3b8a683|CARLOS ALBERTO PIRES DE CASTRO FILHO / 21901/D-DF;|01/10/2015|||BELOHORIZONTE_CARTAESPTOPO_2K_OUT2015_CMUNDO|01/10/2015|criacao|1ª Edição|2015-10-01|Nao SCN Carta Topografica Especial Matricial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||2000|-43.97642232598465029|-19.8699599891328802|-43.96414472849730259|-19.86063995709047347|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Copa do Mundo 2014|93bde7ad-131c-1a67-589f-c536d2cee69a|CARLOS ALBERTO PIRES DE CASTRO FILHO / ;|20/05/2014|||BELO HORIZONTE|30/04/2014|criacao|1ª Edição|2014-04-30|Nao SCN Carta Topografica Especial Matricial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||25000|-44.0161931173277452|-19.94646836001902201|-43.8633186731147191|-19.83046363617998864|2º Centro de Geoinformação|4674|||1
Copa do Mundo 2014|7a1edaf4-29cd-7b6f-a2a3-4f411d24ca04|CARLOS ALBERTO PIRES DE CASTRO FILHO / 21901/D-DF;|05/07/2016|||CUIABA_CARTAESPTOPO_25K_ABR2014_CMUNDO|25/04/2014|criacao|1ª Edição|2014-04-25|Nao SCN Carta Topografica Especial Matricial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||250000|-56.16061142612203838|-15.65473937318855313|-56.00173002296279634|-15.55607348639417609||4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|e45957b9-78f1-d07e-c597-6edba45a7fbe|MARCIO AZEREDO / ;|15/03/2018|2299-2-SE|SE-23-V-A-IV-2-SE|CRISTALINA N - SE-23-V-A-IV-2-SE - 25.000|31/10/2016|criacao|1ª Edição|2016-10-31|Ortoimagem SCN|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.||"{""Projeto ASTROS 2020""}"|25000|-47.625|-16.750|-47.500|-16.625|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||0
Mapeamento de Áreas de Interesse da Força|699b892c-3e59-5875-52bf-b28868653e4c|MARCIO AZEREDO / ;|15/03/2018|2299-4-NO|SE-23-V-A-IV-4-NO|CRISTALINA O - SE-23-V-A-IV-4-NO - 25.000|31/10/2016|criacao|1ª Edição|2016-10-31|Ortoimagem SCN|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.||"{""Projeto ASTROS 2020""}"|25000|-47.750|-16.875|-47.625|-16.750|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||0
Mapeamento de Áreas de Interesse da Força|838137af-b60f-e8c5-111d-254d1ed31108|MARCIO AZEREDO / ;|15/03/2018|2299-4-NE|SE-23-V-A-IV-4-NE|CRISTALINA - SE-23-V-A-IV-4-NE - 25.000|31/10/2016|criacao|1ª Edição|2016-10-31|Ortoimagem SCN|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.||"{""Projeto ASTROS 2020""}"|25000|-47.625|-16.875|-47.500|-16.750|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||0
Mapeamento de Áreas de Interesse da Força|9c8343a9-37ca-baec-b5b9-e535847cb942|MARCIO AZEREDO / ;|15/03/2018|2299-2-SO|SE-23-V-A-IV-2-SO|FAZENDA ÁGUA LIMPA - SE-23-V-A-IV-2-SO - 25.000|31/10/2016|criacao|1ª Edição|2016-10-31|Ortoimagem SCN|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.||"{""Projeto ASTROS 2020""}"|25000|-47.750|-16.750|-47.625|-16.625|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||0
Mapeamento de Áreas de Interesse da Força|90278f23-fa67-b991-b1b0-ef00d57d8a55|MARCIO AZEREDO / ;|10/05/2018|2298-1-NE|SE-22-X-B-VI-1-NE|FAZENDA ALIANÇA - SE-22-X-B-VI-1-NE - 25.000|13/10/2016|criacao|1ª Edição|2016-10-13|Ortoimagem SCN|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.||"{""Projeto ASTROS 2020""}"|25000|-48.375|-16.625|-48.250|-16.500|2º Centro de Geoinformação|4674|||0
Mapeamento de Áreas de Interesse da Força|d74a05a9-1a70-5f9a-96a5-c2e4ddbb2b9c|MARCIO AZEREDO / ;|10/05/2018|2258-3-SE|SE-22-X-B-III-3-SE|FAZENDA PAMPA - SE-22-X-B-III-3-SE - 25.000|13/10/2016|criacao|1ª Edição|2016-10-13|Ortoimagem SCN|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.||"{""Projeto ASTROS 2020""}"|25000|-48.375|-16.500|-48.250|-16.375|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||0
Mapeamento de Áreas de Interesse da Força|a6dfd6ca-35c2-c7b1-187f-e8a8a69bd06a|MARCIO AZEREDO / ;|10/05/2018|2258-3-SO|SE-22-X-B-III-3-SO|FAZENDA PERDIZES - SE-22-X-B-III-3-SO - 25.000|13/10/2016|criacao|1ª Edição|2016-10-13|Ortoimagem SCN|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.||"{""Projeto ASTROS 2020""}"|25000|-48.500|-16.500|-48.375|-16.375|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||0
Mapeamento de Áreas de Interesse da Força|51332122-d7ba-53ef-45ad-74e5f5f4cbb5|MARCIO AZEREDO / ;|10/05/2018|2298-1-NO|SE-22-X-B-VI-1-NO|FAZENDA SÃO JOÃO DAS TRÊS BARRAS - SE-22-X-B-VI-1-NO - 25.000|13/10/2016|criacao|1ª Edição|2016-10-13|Ortoimagem SCN|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.||"{""Projeto ASTROS 2020""}"|25000|-48.500|-16.625|-48.375|-16.500|2º Centro de Geoinformação|4674|||0
Mapeamento de Áreas de Interesse da Força|6f34ad13-0968-d1fe-69fa-0cc5aa712706|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|06/06/2025|0426|SA-22-V-C-VI|ALMEIRIM  - SA-22-V-C-VI - 100.000|15/10/2024|criacao|1ª Edição|2025-05-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-53.000|-2.000|-52.500|-1.500|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|b78bf4d7-b7f3-20c5-a701-e12d52281cdd|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|06/06/2025|0413|SA-21-V-C-V|BALBINA  - SA-21-V-C-V - 100.000|15/10/2024|criacao|1ª Edição|2025-05-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-59.500|-2.000|-59.000|-1.500|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|d9a168ff-9479-423e-759c-463647e14c50|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|06/06/2025|0395|SA-19-X-C-V|ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ  - SA-19-X-C-V - 100.000|15/10/2024|criacao|1ª Edição|2025-05-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-68.500|-2.000|-68.000|-1.500|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|ee6b1314-c32d-8b1f-227a-1af6d01b5190|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|06/06/2025|0378|SA-22-V-D-III|GURUPÁ MELGAÇO - SA-22-V-D-III - 100.000|15/10/2024|criacao|1ª Edição|2025-05-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-51.500|-1.500|-51.000|-1.000|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|e27b7ac3-821c-60c0-3990-b6747cb4e9db|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|06/06/2025|0379|SA-22-X-C-I|ILHA DOS MACACOS - SA-22-X-C-I - 100.000|15/10/2024|criacao|1ª Edição|2025-05-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-51.000|-1.500|-50.500|-1.000|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|7ee91807-84f3-98a8-3f4e-1dbff5812643|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|06/06/2025|0394|SA-19-X-C-IV|ILHA ENEURÊ - SA-19-X-C-IV - 100.000|15/10/2024|criacao|1ª Edição|2025-05-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-69.000|-2.000|-68.500|-1.500|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|9c42ac3d-03e2-0549-b096-36c31670a277|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|06/06/2025|0453|SA-20-Y-A-II|ILHA MAPIXARI - SA-20-Y-A-II - 100.000|15/10/2024|criacao|1ª Edição|2025-05-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-65.500|-2.500|-65.000|-2.000|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|41721564-fe72-06f8-f3e3-5717d132fd5e|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|06/06/2025|0451|SA-19-Z-B-III|ILHA MAPUARU - SA-19-Z-B-III - 100.000|15/10/2024|criacao|1ª Edição|2025-05-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-66.500|-2.500|-66.000|-2.000|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|2960b177-3861-1221-7e96-4a455d05f568|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|06/06/2025|0411|SA-20-X-D-VI|JARDIM FLORESTA  - SA-20-X-D-VI - 100.000|15/10/2024|criacao|1ª Edição|2025-05-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-60.500|-2.000|-60.000|-1.500|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|f5c7a8a5-333c-8659-fcc8-67b8337376db|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|06/06/2025|0424|SA-22-V-C-IV|JUTUARANA  - SA-22-V-C-IV - 100.000|15/10/2024|criacao|1ª Edição|2025-05-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-54.000|-2.000|-53.500|-1.500|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|61abc63a-22d7-9351-2f2d-eb3d054f152b|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|06/06/2025|0452|SA-20-Y-A-I|PARANÁ PANAPUÃ  - SA-20-Y-A-I - 100.000|15/10/2024|criacao|1ª Edição|2025-05-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-66.000|-2.500|-65.500|-2.000|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|127ebca7-51ef-5d39-c13d-6849cc62bfb9|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|06/06/2025|0427|SA-22-V-D-IV|PORTO DE MOZ  - SA-22-V-D-IV - 100.000|15/10/2024|criacao|1ª Edição|2025-05-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-52.500|-2.000|-52.000|-1.500|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|0de42eb0-0330-1f62-f96c-0a9dd3ba388c|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|06/06/2025|0425|SA-22-V-C-V|PRAINHA  - SA-22-V-C-V - 100.000|15/10/2024|criacao|1ª Edição|2025-05-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-53.500|-2.000|-53.000|-1.500|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|6811aa80-3aa1-7421-9299-fa0e176688c5|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|06/06/2025|0412|SA-21-V-C-IV|REPRESA DE BALBINA  - SA-21-V-C-IV - 100.000|15/10/2024|criacao|1ª Edição|2025-05-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-60.000|-2.000|-59.500|-1.500|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|234ce562-8697-cb9e-f861-21abbe31e807|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|06/06/2025|0450|SA-19-Z-B-II|RESERVA EXTRATIVISTA AUATÍ-PARANÁ  - SA-19-Z-B-II - 100.000|15/10/2024|criacao|1ª Edição|2025-05-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-67.000|-2.500|-66.500|-2.000|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|a09116ed-72cd-a4b0-0f8c-e082a52ef8b2|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|06/06/2025|0410|SA-20-X-D-V|WAIMIRI-AT  - SA-20-X-D-V - 100.000|15/10/2024|criacao|1ª Edição|2025-05-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-61.000|-2.000|-60.500|-1.500|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|1d84a41e-98ac-0e2f-44be-11f835e4da1d|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|10/10/2024|2194-4-SE|SD-21-Y-D-IV-4-SE|2194-4-SE - SD-21-Y-D-IV-4-SE - 25.000|01/10/2023|criacao|1ª Edição|2024-09-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||25000|-58.125|-16.000|-58.000|-15.875|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|89acb921-fdae-de26-4b5b-8243d0428518|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|07/05/2025|2195-4-SO|SD-21-Y-D-V-4-SO|2195-4-SO - SD-21-Y-D-V-4-SO - 25.000|01/07/2022|criacao|1ª Edição|2024-09-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||25000|-57.750|-16.000|-57.625|-15.875|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|d68e39af-737f-bcc6-46f4-93bce76e054a|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|10/10/2024|2239-1-NE|SE-21-V-B-II-1-NE|2239-1-NE - SE-21-V-B-II-1-NE - 25.000|01/08/2023|criacao|1ª Edição|2024-09-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||25000|-57.875|-16.125|-57.750|-16.000|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|36c82835-b8d1-ac65-b9ba-6a7a3818af15|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|10/10/2024|2239-1-SE|SE-21-V-B-II-1-SE|2239-1-SE - SE-21-V-B-II-1-SE - 25.000|01/08/2023|criacao|1ª Edição|2024-09-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||25000|-57.875|-16.250|-57.750|-16.125|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|477b8d6b-b95f-2854-ea14-aa54b924cf4a|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|07/05/2025|2239-1-SO|SE-21-V-B-II-1-SO|2239-1-SO - SE-21-V-B-II-1-SO - 25.000|01/10/2023|criacao|1ª Edição|2024-09-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||25000|-58.000|-16.250|-57.875|-16.125|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Mapeamento de Áreas de Interesse da Força|d32b3099-d45e-8315-c8b1-dd1af804f952|JOÃO ALBERTO BATISTA DE CARVALHO / 2010257286;|10/10/2024|2239-2-NE|SE-21-V-B-II-2-NE|2239-2-NE - SE-21-V-B-II-2-NE - 25.000|01/07/2022|criacao|1ª Edição|2024-09-30|SCN Carta Ortoimagem|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||25000|-57.625|-16.125|-57.500|-16.000|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
